職務類別,工作地區,學歷要求,工作經驗,公司規模,產業類別,上班時間,需求技能數量,薪資,職缺名稱,公司名稱
財務,台北市松山區,大學,不拘,32,食品什貨批發業,日班,0,45500,財務會計,世華企業股份有限公司
財務,台南市永康區,碩士,不拘,46,其他機械製造修配業,日班,5,40000,財務會計,凌廣工業股份有限公司
財務,新北市三重區,碩士,不拘,120,電子通訊／電腦週邊零售業,夜班,5,110000,【財務處】財務長(台北),欣亞數位股份有限公司
財務,台北市內湖區,碩士,不拘,11,電腦軟體服務業,日班,0,42000,財務行政,搜咖科技股份有限公司
財務,台北市內湖區,碩士,不拘,200,其他電子零組件相關業,日班,1,80000,財務會計,政久興業股份有限公司
財務,台北市中山區,碩士,不拘,10,其他投資理財相關業,日班,0,70000,財務策劃師,富策國際財富管理顧問有限公司
財務,屏東縣佳冬鄉,大學,不拘,45,環境衛生及污染防治服務業,日班,1,39500,財務專員,大恆資源科技股份有限公司
財務,新竹縣湖口鄉,大學,不拘,3300,社會福利服務業,日班,0,45398,社工員/師-新竹縣身心障礙者服務中心 -第一區,財團法人伊甸社會福利基金會
財務,台北市中正區,碩士,不拘,267,銀行業,日班,0,60000,輸出入銀行國家融資保證中心專案定期契約人員-徵授信經辦,中國輸出入銀行
財務,台中市北區,碩士,不拘,99,環境衛生及污染防治服務業,日班,0,40000,財務專員,宗紀清潔股份有限公司
財務,新北市樹林區,碩士,不拘,86,電力機械器材製造修配業,日班,0,60000,財務經理,三江電機企業股份有限公司
財務,新北市三重區,大學,不拘,0,電腦及其週邊設備製造業,日班,0,37500,財務專員,創捷前瞻科技股份有限公司
財務,新北市林口區,碩士,不拘,0,不動產經營業,日班,0,41500,財務會計/財務出納,青山興業股份有限公司
財務,台中市北屯區,大學,不拘,0,宗教組織,日班,5,60000,財務主管,台中廣天宮
財務,新竹市,大學,不拘,10,網際網路相關業,日班,2,60000,財務會計,區塊證科技股份有限公司
財務,新北市中和區,專科,不拘,29,機械器具批發業,日班,7,32000,財務,可嘉自動化股份有限公司
財務,台北市松山區,大學,不拘,0,政府／民意機關,日班,2,50000,【財務部】財務專員,台灣民眾黨
財務,台南市學甲區,碩士,不拘,25,宗教組織,日班,2,30000,財務組出納人員,財團法人臺灣省臺南縣學甲慈濟宮
財務,苗栗縣後龍鎮,碩士,不拘,38,其他電子零組件相關業,日班,6,36000,財務人員,顯嶸企業有限公司
財務,新北市新莊區,專科,不拘,2100,餐館業,日班,2,70000,路易莎咖啡 總公司- 總帳經副理,路易莎職人咖啡股份有限公司
財務,台北市中山區,專科,不拘,86,電腦系統整合服務業,日班,5,46000,財務人員,喬山工程股份有限公司
